[2026-04-24T13:56:27Z] [113/1937] fresh     https://www.staffordbaptistchurch.org/our-leaders
[2026-04-24T13:56:40Z] [114/1937] fresh     https://rbcstafford.org
[2026-04-24T13:56:58Z]   CDX check failed: timed out
[2026-04-24T13:56:58Z] [115/1937] no-snapshot  https://www.sbcv.org/churches/ramoth-baptist-church/
[2026-04-24T13:57:15Z]   CDX check failed: timed out
[2026-04-24T13:57:15Z] [116/1937] no-snapshot  https://www.northstaffordbaptistchurch.com/about
[2026-04-24T13:57:32Z] [117/1937] fresh     https://pillarstafford.com/
[2026-04-24T13:57:51Z]   CDX check failed: timed out
[2026-04-24T13:57:51Z] [118/1937] no-snapshot  https://goodhopelive.com/our-leadership
[2026-04-24T13:57:57Z] [119/1937] older     https://craigsbaptistchurch.org
[2026-04-24T13:57:58Z] [120/1937] fresh     https://www.sbcv.org/churches/craigs-baptist-church-spotsylvania/
[2026-04-24T13:57:58Z]   checkpoint: {"fresh": 61, "older": 16, "saved": 0, "skip": 0, "fail": 0, "cached": 0, "no-snapshot": 43}
[2026-04-24T13:58:04Z] [121/1937] no-snapshot  https://spotsylvaniabaptistchurch.org/about
[2026-04-24T13:58:08Z] [122/1937] fresh     https://livinghopestafford.org
[2026-04-24T13:58:26Z]   CDX check failed: timed out
[2026-04-24T13:58:26Z] [123/1937] no-snapshot  https://www.hopechurchva.org
[2026-04-24T13:58:32Z] [124/1937] no-snapshot  https://www.bgav.org/church-directory/community-baptist-church
[2026-04-24T13:58:32Z] [125/1937] skip      https://www.facebook.com/communitybapchurch/
[2026-04-24T13:58:49Z]   CDX check failed: timed out
[2026-04-24T13:58:49Z] [126/1937] no-snapshot  https://en.wikipedia.org/wiki/Baptist_General_Association_of_Virginia
[2026-04-24T13:58:54Z] [127/1937] older     https://rolva.org
[2026-04-24T13:59:00Z] [128/1937] fresh     https://mthopeva.org
[2026-04-24T13:59:01Z] [129/1937] fresh     https://mthopeva.org/meet-dr-bell/
[2026-04-24T13:59:02Z] [130/1937] older     https://vaumc.org/church/falmouth-umc/
[2026-04-24T13:59:02Z]   checkpoint: {"fresh": 64, "older": 18, "saved": 0, "skip": 1, "fail": 0, "cached": 0, "no-snapshot": 47}
[2026-04-24T13:59:16Z] [131/1937] older     https://www.umc.org/en/find-a-church/church?id=001Um00000PFDILIA5
[2026-04-24T13:59:19Z] [132/1937] fresh     https://pineybranchbc.org
[2026-04-24T13:59:25Z] [133/1937] fresh     https://www.summitstafford.com
[2026-04-24T13:59:34Z] [134/1937] fresh     https://pcusa.org/congregation/summit-church-stafford-va
[2026-04-24T13:59:38Z] [135/1937] no-snapshot  https://www.faithstreet.com/church/summit-presbyterian-church-stafford-va
[2026-04-24T13:59:42Z] [136/1937] fresh     https://www.berea-baptist.org
[2026-04-24T13:59:59Z]   CDX check failed: timed out
[2026-04-24T13:59:59Z] [137/1937] no-snapshot  https://www.faithstreet.com/church/berea-baptist-church-fredericksburg-va
[2026-04-24T14:00:08Z] [138/1937] older     https://www.kingdomfamilyworshipcenter.info/
[2026-04-24T14:00:25Z]   CDX check failed: timed out
